iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-21T18:55:10Z,1774119310,7,514369,1,0
2026-03-21T20:32:41Z,1774125161,0,267209,1,0
2026-03-21T20:32:52Z,1774125172,1,267235,1,0
2026-03-21T20:33:01Z,1774125181,2,267276,1,0
2026-03-21T20:33:11Z,1774125191,1,267342,1,0
2026-03-21T20:33:20Z,1774125200,1,267366,1,0
2026-03-21T20:33:29Z,1774125209,2,267391,1,0
2026-03-21T20:33:39Z,1774125219,1,267413,1,0
2026-03-21T20:33:48Z,1774125228,1,267431,1,0
2026-03-21T20:33:57Z,1774125237,0,267455,1,0
2026-03-21T20:34:06Z,1774125246,1,267476,1,0
2026-03-21T20:34:16Z,1774125256,1,267501,1,0
2026-03-21T20:34:25Z,1774125265,0,267526,1,0
2026-03-21T20:34:36Z,1774125276,1,267550,1,0
2026-03-21T20:34:45Z,1774125285,0,267571,1,0
2026-03-21T20:34:55Z,1774125295,1,267595,1,0
2026-03-21T20:35:05Z,1774125305,0,267621,1,0
2026-03-21T20:35:15Z,1774125315,2,267647,1,0
2026-03-21T20:35:24Z,1774125324,0,267666,1,0
2026-03-21T20:35:34Z,1774125334,1,267692,1,0
2026-03-21T20:35:43Z,1774125343,2,267714,1,0
2026-03-21T20:35:52Z,1774125352,1,267740,1,0
2026-03-21T20:36:02Z,1774125362,2,267759,1,0
2026-03-21T20:36:10Z,1774125370,1,267784,1,0
2026-03-21T20:36:20Z,1774125380,0,267800,1,0
2026-03-21T20:36:29Z,1774125389,1,267829,1,0
2026-03-21T20:36:39Z,1774125399,0,267851,1,0
2026-03-21T20:36:49Z,1774125409,1,267876,1,0
2026-03-21T20:36:57Z,1774125417,0,267894,1,0
2026-03-21T20:37:07Z,1774125427,1,267919,1,0
2026-03-21T20:37:16Z,1774125436,2,267942,1,0
2026-03-21T20:37:25Z,1774125445,1,267966,1,0
2026-03-21T20:37:34Z,1774125454,2,267987,1,0
2026-03-21T20:37:43Z,1774125463,0,268004,1,0
2026-03-21T20:37:52Z,1774125472,1,268030,1,0
2026-03-21T20:38:01Z,1774125481,3,268051,1,0
2026-03-21T20:38:12Z,1774125492,0,268078,1,0
2026-03-21T20:38:21Z,1774125501,0,268096,1,0
2026-03-21T20:38:30Z,1774125510,1,268114,1,0
2026-03-21T20:38:38Z,1774125518,1,268133,1,0
2026-03-21T20:38:48Z,1774125528,2,268149,1,0
2026-03-21T20:38:57Z,1774125537,1,268175,1,0
2026-03-21T20:39:06Z,1774125546,1,268189,1,0
2026-03-21T20:39:17Z,1774125557,2,268206,1,0
2026-03-21T20:39:26Z,1774125566,1,268229,1,0
2026-03-21T20:39:35Z,1774125575,1,268247,1,0
2026-03-21T20:39:45Z,1774125585,1,268260,1,0
